iter	Logloss
283	0.412369209
284	0.4120936601
285	0.4118940314
286	0.4117469257
287	0.411535173
288	0.41141628
289	0.4112023023
290	0.4110719792
291	0.4109183312
292	0.4108036536
293	0.4104953265
294	0.4103261836
295	0.4101148783
296	0.4099478682
297	0.4097942115
298	0.4095834059
299	0.4094594702
300	0.4093188176
301	0.4091303189
302	0.4089803704
303	0.4087843846
304	0.4085739535
305	0.4084210121
306	0.4083288795
307	0.4081931778
308	0.4079727325
309	0.4077206217
310	0.407625886
311	0.4073703384
312	0.4070793906
313	0.4069332608
314	0.4068554102
315	0.4066500931
316	0.4064568151
317	0.4062247249
318	0.4060685694
319	0.4059463798
320	0.4058817574
321	0.4056113016
322	0.405306027
323	0.4050613763
324	0.4048180761
325	0.4046139792
326	0.4043007076
327	0.4041920922
328	0.4039161678
329	0.4035186364
330	0.4033156537
331	0.4029159849
332	0.402624247
333	0.4023192714
334	0.4022595823
335	0.402070306
336	0.4018783072
337	0.4016099798
338	0.4013435553
339	0.4012815529
340	0.4010215663
341	0.4008307705
342	0.4005909424
343	0.4003874467
344	0.4003015441
345	0.4000318318
346	0.399803058
347	0.3995819142
348	0.3993830048
349	0.3992171284
350	0.3988994705
351	0.3987052923
352	0.3984112628
353	0.3982121736
354	0.3980297372
355	0.3978553511
356	0.3975507531
357	0.3973805973
358	0.3972082461
359	0.3970144095
360	0.3969084901
361	0.3967594824
362	0.3964460527
363	0.3963562253
364	0.3961993176
365	0.3959492764
366	0.3956979163
367	0.3954973568
368	0.3953296706
369	0.3951544389
370	0.3949945089
371	0.3947369826
372	0.3945838801
373	0.3943450413
374	0.394191827
375	0.3940251778
376	0.3938411253
377	0.393600141
378	0.3933501316
379	0.3932411218
380	0.3930756172
381	0.3928832701
382	0.3926105459
383	0.3924404352
384	0.3922585621
385	0.3920908716
386	0.3919327893
387	0.3917949294
388	0.3916367614
389	0.3914789489
390	0.3913400432
391	0.3912150073
392	0.3910665425
393	0.3908465423
394	0.3906137221
395	0.3904638596
396	0.3901842033
397	0.3899415781
398	0.3897263115
399	0.38949738
400	0.3893408566
401	0.3891795861
402	0.3890238197
403	0.3889549459
404	0.3887041159
405	0.3886187961
406	0.388267711
407	0.3880739276
408	0.3878553661
409	0.3876305523
410	0.387484142
411	0.3871489643
412	0.3869451511
413	0.3867334514
414	0.3865903821
415	0.3863733701
416	0.3862136683
417	0.3859323577
418	0.3857859551
419	0.3856007028
420	0.3852979583
421	0.3850966904
422	0.3849627798
423	0.3847422623
424	0.3846359408
425	0.3845554567
426	0.3843158244
427	0.3842074502
428	0.3839225606
429	0.3836993594
430	0.3835221331
431	0.3832486156
432	0.3830564835
433	0.3828025337
434	0.3826433906
435	0.3824405472
436	0.3822624627
437	0.3820523056
438	0.3817952824
439	0.3815545062
440	0.3813934338
441	0.381207169
442	0.3810043783
443	0.3807298138
444	0.3805814857
445	0.3803846479
446	0.380144018
447	0.3799233646
448	0.3797773329
449	0.3795993875
450	0.3793901745
451	0.3791722928
452	0.3790515346
453	0.3788756377
454	0.3786882244
455	0.3785109657
456	0.3782762492
457	0.3781067623
458	0.3779539737
459	0.3777458697
460	0.3775873977
461	0.3773629352
462	0.3771735946
463	0.3769830266
464	0.3767344058
465	0.3766382504
466	0.3764501541
467	0.3762981727
468	0.3760899292
469	0.3759905283
470	0.3757534028
471	0.3755773682
472	0.375398879
473	0.3751442564
474	0.3749987879
475	0.374756161
476	0.3745708803
477	0.3744194134
478	0.3741992068
479	0.3740735423
480	0.3739730045
481	0.3738414896
482	0.3737113762
483	0.3735843133
484	0.3734295908
485	0.3732652857
486	0.3730104536
487	0.3728880763
488	0.3726796066
489	0.3724444137
490	0.3723247121
491	0.3722403354
492	0.3720935711
493	0.3719102978
494	0.3717605859
495	0.3715371928
496	0.3713822801
497	0.3711856081
498	0.3710280235
499	0.3709320224
