iter	Passed	Remaining
222	1370	1702
223	1375	1694
224	1381	1687
225	1387	1681
226	1392	1674
227	1400	1670
228	1405	1663
229	1411	1656
230	1418	1651
231	1422	1643
232	1427	1636
233	1433	1629
234	1438	1621
235	1442	1613
236	1447	1606
237	1451	1598
238	1456	1590
239	1460	1582
240	1466	1575
241	1473	1570
242	1479	1564
243	1484	1557
244	1488	1549
245	1494	1542
246	1500	1536
247	1507	1531
248	1512	1524
249	1517	1517
250	1522	1510
251	1531	1507
252	1535	1499
253	1540	1492
254	1546	1485
255	1550	1478
256	1555	1470
257	1561	1464
258	1566	1457
259	1574	1453
260	1579	1446
261	1584	1439
262	1589	1432
263	1594	1425
264	1600	1418
265	1605	1411
266	1610	1405
267	1616	1399
268	1621	1392
269	1627	1386
270	1632	1379
271	1637	1372
272	1643	1366
273	1648	1359
274	1653	1352
275	1659	1346
276	1663	1339
277	1668	1332
278	1673	1325
279	1679	1319
280	1684	1312
281	1689	1306
282	1693	1298
283	1698	1291
284	1703	1285
285	1708	1278
286	1713	1271
287	1718	1265
288	1726	1260
289	1730	1253
290	1736	1247
291	1741	1240
292	1745	1233
293	1753	1228
294	1757	1221
295	1761	1214
296	1767	1207
297	1772	1201
298	1776	1194
299	1781	1187
300	1787	1181
301	1794	1176
302	1799	1170
303	1804	1163
304	1809	1156
305	1814	1150
306	1820	1144
307	1825	1138
308	1831	1132
309	1836	1125
310	1841	1118
311	1846	1112
312	1852	1106
313	1856	1099
314	1864	1094
315	1869	1088
316	1874	1082
317	1880	1076
318	1886	1070
319	1892	1064
320	1900	1059
321	1905	1053
322	1911	1047
323	1917	1041
324	1922	1034
325	1927	1028
326	1932	1022
327	1937	1016
328	1946	1011
329	1951	1005
330	1956	998
331	1962	992
332	1968	987
333	1976	982
334	1982	976
335	1987	970
336	1994	964
337	1999	958
338	2005	952
339	2013	947
340	2018	941
341	2023	934
342	2029	928
343	2034	922
344	2041	917
345	2046	910
346	2050	904
347	2056	898
348	2061	891
349	2065	885
350	2070	878
351	2076	872
352	2081	866
353	2085	860
354	2091	854
355	2097	848
356	2102	842
357	2109	836
358	2114	830
359	2120	824
360	2125	818
361	2130	812
362	2135	805
363	2140	799
364	2145	793
365	2149	787
366	2155	781
367	2160	775
368	2168	769
369	2175	764
370	2181	758
371	2187	752
372	2191	746
373	2195	739
374	2200	733
375	2205	727
376	2209	720
377	2214	714
378	2220	708
379	2224	702
380	2229	696
381	2235	690
382	2240	684
383	2245	678
384	2253	673
385	2259	667
386	2265	661
387	2269	655
388	2274	648
389	2279	642
390	2284	636
391	2288	630
392	2293	624
393	2298	618
394	2303	612
395	2308	606
396	2315	600
397	2322	595
398	2329	589
399	2335	583
400	2340	577
401	2346	572
402	2353	566
403	2358	560
404	2364	554
405	2369	548
406	2373	542
407	2379	536
408	2385	530
409	2390	524
410	2395	518
411	2400	512
412	2405	506
413	2411	501
414	2416	494
415	2421	488
416	2427	483
417	2432	477
418	2437	471
419	2443	465
420	2448	459
421	2456	453
422	2461	448
423	2467	442
424	2473	436
425	2480	430
426	2485	424
427	2490	419
428	2495	413
429	2501	407
430	2507	401
431	2512	395
432	2519	389
433	2525	384
434	2530	378
435	2536	372
436	2541	366
437	2546	360
438	2551	354
439	2556	348
440	2563	342
441	2569	337
442	2574	331
443	2579	325
444	2584	319
445	2590	313
446	2595	307
447	2600	301
448	2606	296
449	2610	290
450	2616	284
451	2622	278
452	2628	272
453	2634	266
454	2639	261
455	2643	255
456	2649	249
457	2654	243
458	2659	237
459	2665	231
460	2672	226
461	2680	220
462	2686	214
463	2691	208
464	2696	202
465	2701	197
466	2707	191
467	2713	185
468	2718	179
469	2723	173
470	2730	168
471	2736	162
472	2743	156
473	2749	150
474	2755	145
475	2761	139
476	2767	133
477	2775	127
478	2781	121
479	2786	116
480	2791	110
481	2796	104
482	2801	98
483	2805	92
484	2813	87
485	2817	81
486	2822	75
487	2828	69
488	2833	63
489	2838	57
490	2845	52
491	2849	46
492	2854	40
493	2861	34
494	2865	28
495	2870	23
496	2875	17
497	2880	11
498	2886	5
499	2891	0
